Suits,Value,WhoCalled,v1,v2
2,10,1,116,100
1,13,1,119,126
3,12,1,147,126
2,14,1,177,126
3,10,1,180,149
1,10,1,185,170
4,9,0,185,195
0,10,1,211,195
2,10,1,214,218
4,10,0,238,220
0,10,1,244,240
3,9,0,266,243
2,10,1,269,266
4,10,0,293,268
0,9,0,293,293
0,13,1,294,321
3,10,1,1,25
2,13,1,30,25
4,10,0,50,31
4,9,0,72,34
2,10,0,95,37
1,13,1,124,37
2,10,0,124,63
2,10,0,144,69
0,13,1,173,69
2,10,0,173,95
2,10,1,178,116
0,10,0,202,118
1,13,0,231,118
4,10,1,231,144
1,13,1,231,173
4,13,1,231,202
4,10,0,251,208
1,9,0,271,213
2,9,0,296,213
2,13,1,325,213
1,9,0,19,6
2,10,1,24,27
2,9,0,47,29
1,10,0,68,34
1,10,0,90,38
0,10,1,94,60
2,13,1,123,60
1,10,0,123,86
3,10,1,149,86
0,10,1,175,86
2,10,0,175,112
1,10,1,201,112
0,9,0,221,117
3,15,1,252,117
2,13,1,281,117
0,9,0,306,117
3,10,0,25,1
2,15,1,25,32
2,10,1,27,56
4,10,1,31,78
0,10,1,36,99
1,12,1,38,125
2,10,0,62,127
1,10,1,62,153
3,14,1,92,153
0,10,1,98,173
0,10,0,118,179
0,9,0,139,183
3,10,1,143,205
3,9,0,161,212
0,10,1,163,236
4,9,0,183,241
3,10,1,188,262
1,10,1,214,262
4,9,0,214,287
0,13,0,240,290
1,14,1,240,320
0,10,1,5,21
1,13,1,34,21
1,10,1,60,21
1,13,1,62,48
1,15,1,93,48
0,13,1,122,48
4,9,0,122,73
3,15,1,122,104
0,10,1,125,127
0,12,1,126,154
1,10,1,130,176
0,10,1,135,197
2,10,0,160,198
0,13,1,162,225
0,9,0,162,250
0,13,1,165,276
3,9,0,185,281
4,10,1,211,281
1,10,0,234,284
1,12,1,262,284
1,10,1,265,307
3,10,0,0,26
2,10,1,5,47
0,13,0,34,47
3,10,0,56,51
0,10,1,60,73
3,9,0,81,77
0,10,1,107,77
2,10,0,128,82
4,10,0,154,82
0,10,1,155,107
3,10,0,181,107
3,13,1,182,135
3,9,0,182,160
0,13,1,211,160
1,10,1,214,183
2,9,0,239,183
1,10,1,265,183
3,13,1,294,183
4,9,0,315,187
0,9,0,21,4
3,10,1,24,27
1,13,0,51,29
4,10,1,56,50
4,10,1,59,73
4,10,1,85,73
2,16,1,117,73
4,9,0,117,98
1,10,0,117,124
0,9,0,117,149
2,10,1,122,170
4,10,0,146,172
2,10,0,170,174
0,10,1,171,199
4,13,1,200,199
1,10,1,201,224
3,10,1,201,250
4,9,0,220,256
4,10,1,225,277
1,13,1,254,277
1,10,1,280,277
1,10,1,283,300
1,10,0,283,326
1,9,0,20,5
0,9,0,20,30
4,10,1,24,52
3,13,1,27,78
2,10,1,53,78
4,12,0,53,106
1,10,1,53,132
3,10,1,79,132
2,10,1,105,132
4,10,0,126,137
0,10,0,151,138
3,10,1,154,161
2,13,1,183,161
1,13,1,212,161
2,14,1,212,191
3,10,1,215,214
4,10,0,238,217
3,12,1,241,242
2,13,1,270,242
2,10,1,276,262
3,13,1,305,262
0,9,0,22,3
2,9,0,43,7
2,10,1,44,32
3,10,1,70,32
2,13,1,99,32
0,10,0,120,37
4,12,1,148,37
1,13,1,148,66
2,10,1,148,92
3,10,0,170,96
4,10,0,194,98
3,10,1,220,98
0,13,1,223,124
3,14,1,253,124
4,10,0,253,150
1,13,1,282,150
1,15,1,282,181
1,9,0,302,186
2,10,0,26,0
2,13,1,55,0
4,9,0,75,5
0,13,1,104,5
4,10,0,126,9
1,13,1,155,9
4,10,0,181,9
1,9,0,201,14
1,10,0,227,14
3,10,0,250,17
3,12,1,252,43
4,10,1,256,65
0,10,1,282,65
4,13,0,309,67
4,9,0,19,6
4,10,1,20,31
3,9,0,43,33
0,13,1,46,59
1,10,1,49,82
0,10,0,72,85
1,10,0,96,87
0,9,0,115,93
4,10,1,117,117
1,10,1,122,138
3,13,1,125,164
0,10,1,151,164
3,12,1,153,190
0,10,1,179,190
1,10,1,183,212
1,9,0,203,217
1,10,1,229,217
4,9,0,251,220
0,10,1,254,243
0,10,1,280,243
0,10,1,284,265
1,10,1,286,289
2,10,1,312,289
4,10,1,4,22
3,10,0,25,27
1,10,0,25,53
4,10,0,25,79
0,13,1,27,106
0,10,0,48,111
4,13,0,76,112
2,10,1,79,135
3,13,1,108,135
1,10,0,131,138
3,9,0,150,144
3,13,1,152,171
0,10,1,178,171
0,10,1,181,194
2,10,0,181,220
1,13,1,181,249
2,13,1,210,249
4,9,0,231,253
4,10,1,235,275
0,10,1,261,275
2,9,0,283,278
1,9,0,302,284
4,10,0,22,4
2,10,0,45,7
4,10,0,45,33
0,10,1,71,33
0,10,1,97,33
3,10,1,101,55
4,10,1,104,78
2,10,1,107,101
0,9,0,107,126
0,9,0,127,131
2,10,1,131,153
4,9,0,131,178
3,13,0,158,180
0,13,1,160,207
0,10,1,186,207
3,13,0,214,208
3,13,1,216,235
4,9,0,216,260
3,10,1,222,280
1,12,1,250,280
4,10,1,254,302
3,10,0,22,4
2,10,1,27,25
4,9,0,27,50
0,9,0,52,50
1,10,1,78,50
1,10,1,104,50
1,10,1,106,74
3,13,1,109,100
2,10,1,112,123
0,13,1,114,150
3,13,1,114,179
1,10,0,139,180
3,13,1,168,180
3,10,1,194,180
4,10,1,194,206
3,10,1,200,226
1,10,0,223,229
3,15,1,254,229
1,10,0,278,231
4,9,0,296,238
2,10,0,320,240
4,10,1,6,20
3,10,1,8,44
3,10,0,28,50
0,13,1,29,78
1,13,1,58,78
0,13,0,85,80
4,10,0,85,106
4,10,1,89,128
2,13,1,91,155
0,10,0,111,161
3,13,1,140,161
3,10,1,166,161
1,10,0,166,187
0,10,1,168,211
0,10,1,194,211
0,10,0,217,214
1,10,1,243,214
2,10,1,245,238
1,10,1,247,262
2,10,0,270,265
1,10,1,273,288
3,13,0,300,290
4,9,0,320,295
2,13,1,29,0
3,10,1,34,21
3,10,0,34,47
2,13,1,37,73
1,14,1,67,73
0,12,1,95,73
1,9,0,117,76
1,10,1,123,96
3,10,1,124,121
4,10,0,149,122
0,10,0,175,122
0,9,0,199,123
0,10,0,222,126
1,10,1,225,149
0,9,0,250,149
1,10,1,276,149
1,10,0,299,152
3,10,0,299,178
4,10,0,323,180
3,9,0,24,1
3,10,0,49,2
2,13,1,78,2
3,9,0,101,4
4,10,0,127,4
1,10,1,153,4
1,13,1,155,31
3,10,1,181,31
0,10,0,205,33
3,10,1,208,56
0,13,0,208,85
4,10,1,212,107
2,10,1,216,129
2,13,1,216,158
1,10,1,219,181
4,10,1,224,202
1,10,0,247,205
2,13,1,248,233
1,10,0,268,239
0,9,0,287,245
4,10,0,310,248
2,10,1,6,20
0,10,1,32,20
3,13,1,61,20
2,13,1,61,49
3,10,1,87,49
1,13,1,89,76
1,10,0,109,82
0,13,1,138,82
2,10,0,164,82
0,10,0,188,84
3,10,0,213,85
0,10,1,215,109
1,10,1,241,109
2,13,1,242,137
3,10,1,247,158
1,10,1,252,179
2,13,1,253,207
3,10,1,259,227
2,13,0,285,230
1,10,1,285,256
3,10,0,285,282
1,10,1,286,307
4,10,1,0,26
1,12,1,28,26
4,10,1,34,46
1,10,1,38,68
2,10,1,40,92
4,9,0,61,96
2,13,1,64,122
3,10,1,69,143
2,10,0,93,145
4,9,0,113,150
1,10,1,139,150
2,9,0,139,175
1,9,0,157,182
1,13,1,158,210
1,10,1,184,210
3,10,0,184,236
0,10,0,184,262
0,10,1,185,287
1,13,1,214,287
1,10,1,216,311
4,10,1,0,26
3,10,1,3,49
2,13,1,32,49
0,10,0,54,53
0,13,1,57,79
4,10,1,58,104
2,12,1,86,104
4,9,0,86,129
1,10,1,90,151
0,10,1,116,151
0,10,1,142,151
3,10,1,146,173
1,10,1,172,173
1,10,1,198,173
4,10,0,220,177
0,10,0,242,181
2,10,1,268,181
2,10,1,294,181
1,13,1,323,181
